MKT_TP_CODE	SCR_CODE	SCR_NM	ENSCR_NM	TRDUNIT	MONEYTYPE	CAPITAL	CIRCULATSTOCK	ASSETSPERSHARE	LSTINCPERSHARE	CURINCPERSHARE	VOL_BASE_RATIO	RECTIME
1	122079	11上港02		10	0	3000000000	1603849000	0	0	0	0	20160307172318
1	122080	11康美债		10	0	2500000000	2500000000	0	0	0	0	20160307172318
1	122081	11星湖债		10	0	640000000	385808000	0	0	0	0	20160307172318
1	122082	PR发展债		10	0	650000000	647962000	0	0	0	0	20160307172318
1	122083	11天威债		10	0	1600000000	1600000000	0	0	0	0	20160307172318
1	122084	11湘电债		10	0	950000000	950000000	0	0	0	0	20160307172318
1	122085	11深高速		10	0	1500000000	1499997000	0	0	0	0	20160307172318
1	122086	11正泰债		10	0	1500000000	1393999000	0	0	0	0	20160307172318
1	122087	11凌钢债		10	0	1480000000	1480000000	0	0	0	0	20160307172318
1	122088	11综艺债		10	0	700000000	700000000	0	0	0	0	20160307172318
1	122090	11马钢02		10	0	2340000000	2340000000	0	0	0	0	20160307172318
1	122091	11重机债		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	122093	11中孚债		10	0	1500000000	1500000000	0	0	0	0	20160307172319
1	122094	11海正债		10	0	800000000	800000000	0	0	0	0	20160307172319
1	122096	11健康元		10	0	1000000000	1000000000	0	0	0	0	20160307172319
1	122097	11浦路桥		10	0	700000000	700000000	0	0	0	0	20160307172319
1	122099	11连港02		10	0	2650000000	2650000000	0	0	0	0	20160307172319
1	122100	11华仪债		10	0	700000000	509591000	0	0	0	0	20160307172319
1	122102	11广汇01		10	0	2000000000	2000000000	0	0	0	0	20160307172319
1	122103	11航机01		10	0	996756000	996756000	0	0	0	0	20160307172319
1	122105	11安钢02		10	0	800000000	800000000	0	0	0	0	20160307172319
1	122106	11唐新01		10	0	4200000000	4200000000	0	0	0	0	20160307172319
1	122107	11安钢01		10	0	1000000000	1000000000	0	0	0	0	20160307172319
1	122108	11新天01		10	0	1000000000	1000000000	0	0	0	0	20160307172319
1	122109	11新天02		10	0	1000000000	1000000000	0	0	0	0	20160307172319
1	122110	11众和债		10	0	1370000000	1370000000	0	0	0	0	20160307172319
1	122111	11永泰债		10	0	500000000	500000000	0	0	0	0	20160307172319
1	122112	11沪大众		10	0	1600000000	1600000000	0	0	0	0	20160307172319
1	122113	11新钢债		10	0	900000000	900000000	0	0	0	0	20160307172319
1	122114	11一重债		10	0	2500000000	2500000000	0	0	0	0	20160307172319
1	122115	11华锐01		10	0	2600000000	39018000	0	0	0	0	20160307172319
1	122116	11华锐02		10	0	200000000	200000000	0	0	0	0	20160307172319
1	122118	12兴发01		10	0	300000000	299978000	0	0	0	0	20160307172319
